state,year,poorhealth,neversmoke,pastsmoke,somesmoke,dailysmoke,bingedrinker,genhealth0,genhealth1_13,genhealth14_30
Pennsylvania,2014,.17087716,.5523544,.24802919,.059549659,.14006677,.16660948,.59319067,.24990804,.1569013
Pennsylvania,2015,.16465752,.55908936,.25983831,.048898008,.13217431,.16845113,.59158319,.26677543,.14164138
Pennsylvania,2016,.1653309,.55581921,.26500875,.051269345,.1279027,.19421928,.57490075,.28319284,.14190644
Pennsylvania,2017,.18642215,.5432812,.26912645,.053367268,.1342251,.18258953,.55843937,.27845699,.16310365
Pennsylvania,2018,0,.85344422,.10408702,.042468783,0,.042468783,.34733513,.65266484,0
Rhode Island,2013,.1623098,.54016739,.28627348,.049242061,.12431711,.17846455,.60224676,.25021753,.1475357
Rhode Island,2014,.15245488,.56038159,.27704906,.049289018,.1132803,.18377672,.59211159,.26095456,.14693385
Rhode Island,2015,.16133365,.56561309,.2793439,.048166092,.10687692,.1599362,.55845731,.2785542,.1629885
Rhode Island,2016,.15681523,.57586026,.279919,.049447279,.094773479,.15776262,.56131482,.27901506,.15967011
Rhode Island,2017,.17234945,.5653457,.28499389,.051315036,.098345377,.1813051,.54108208,.28452212,.1743958
Rhode Island,2018,.14555515,.63564986,.31815094,.04126481,.0049343877,.21248837,.88042599,.099149086,.020424899
South Carolina,2013,.19726573,.52764094,.25270778,.06571389,.15393737,.14955275,.57646507,.26351801,.16001694
South Carolina,2014,.19741048,.53288144,.25275949,.065932833,.14842626,.14013638,.57498193,.25119519,.17382291
South Carolina,2015,.18009262,.55430692,.24978036,.059788533,.13612418,.15207361,.57574797,.24479938,.17945269
South Carolina,2016,.19998069,.54222584,.25766054,.070081741,.13003188,.16813442,.56527197,.24771707,.18701093
South Carolina,2017,.19365539,.54775077,.26509145,.062971517,.12418625,.15500875,.57265055,.25423619,.17311327
South Carolina,2018,.14164948,.59137362,.22911829,.02725729,.1522508,.19667488,.40954039,.48034966,.11010996
South Dakota,2013,.12647532,.53094423,.27344188,.061093796,.13452007,.19203788,.64673042,.2451354,.10813417
South Dakota,2014,.13994859,.55053931,.26384869,.056370899,.12924111,.173678,.60526723,.25335875,.14137404
South Dakota,2015,.13671526,.54094982,.25878382,.06038259,.13988374,.16863157,.62508512,.25991979,.11499506
South Dakota,2016,.13045427,.55548877,.26325974,.055486005,.12576549,.19268376,.66984028,.20737185,.12278786
South Dakota,2017,.14412428,.55190277,.25489599,.057009917,.13619132,.17178796,.59496009,.28275371,.12228619
South Dakota,2018,.024088265,.57126093,.25277841,.018989233,.1569714,.42133713,.41485214,.58332866,.0018192012
Tennessee,2013,.23141706,.51623356,.24093662,.059448585,.18338121,.096264102,.5298034,.23303294,.23716368
Tennessee,2014,.23782752,.52098966,.23527829,.053208601,.19052342,.10362322,.55195373,.2472593,.20078693
Tennessee,2015,.21782529,.52768308,.252305,.061704904,.15830703,.10544688,.54953331,.24200472,.20846196
Tennessee,2016,.20180666,.54211587,.23758756,.069876492,.15042007,.12660058,.54711193,.26427034,.18861775
Tennessee,2017,.21007237,.54023546,.23350872,.067472845,.15878294,.13098542,.5591796,.26274586,.17807455
Tennessee,2018,.24202484,.47047937,.34245133,.024022417,.16304691,.18550579,.60009074,.26087311,.13903613
Texas,2013,.19152077,.62246257,.21828121,.060173366,.099082865,.16739984,.59592742,.25761551,.14645706
Texas,2014,.19482145,.64081776,.21336982,.058399342,.087413095,.16315173,.60044527,.25314009,.14641465
Texas,2015,.19338672,.63568199,.21293956,.057077952,.094300516,.1582623,.58612889,.27064246,.14322862
Texas,2016,.18250774,.62713903,.22959925,.058762349,.084499337,.17950155,.61494672,.23908119,.14597207
